Subject ,Complaint Number,Province,"Municipality / 
City",Barangay,Sitio,Longitude,Latitude,"Google Map Link
(Location Point)",Nature of Reported Illegal Act,Type of Commodity (Non-metallics),Actions Taken,Details ,"Date of
Action Taken (mm/dd/yyyy)",Laws Violated,No. of CDO Issued,Date Issued (mm/dd/yyyy),Remarks
"Alleged illegal quarrying activities in Brgy. Mojon, Liliw, Laguna",MMD-IMC No. 2025-11,Laguna,Liliw,Mojon,ND,121.402871°,14.210991°,"https://www.google.com/maps/search/?api=1&query=14.210991,121.402871",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"1. Mr. Felix Suerte, Caretaker of the private property of Mr. Ric M. Pinca, the complainant, highlighted that a backhoe was observed operating in the river on a separate occasion. 

2. Ms. Rolena O. Nazareno, President of Samahan ng Magbubuhangin at Trucking (SMT) ng Malabo-Kalantukan, Mojon, Liliw, Laguna with an Industrial Sand and Gravel Permit (ISAG) Permit No. ISAG LAG-2023-01, clarified that as of October 2024, all truckers and the Barangay Local Government Unit (BLGU) of Malabo-Kalantukan left the association because the barangay no longer permits quarrying in the area. Ms. Nazareno also emphasized that the organization now solely consists of sand gatherers (Magbubuhangin) , with its quarrying operations limited within the permitted area. Ms. Nazareno also clarified that SMT does not allow the use of heavy machineries, and noted that Brgy. Alipit, whom Ms. Nazareno and Hon. Loren Caro (Barangay Councilor of Brgy. Mojon) pointed where the alleged illegal quarrying activity happened, is not included in the permit. 

3. The investigating team, upon site inspection, observed no riverbed extraction and quarrying activities during the time of investigation.

4. At the opposite side of the river, a quarry site operated by Mr. Manuel Calupitan was observed to be using heavy equipment. 

5. The Investigating Team also observed one (1) boat/craft that was left/abandoned  in the area.",2/10/2025,Theft of Minerals (Section 103 of RA 7942),0,NA,Letter dated 2/28/2025 to the Provincial Government of Laguna
"Alleged illegal quarrying in Brgy. Marilag, Calauag, Quezon",MMD-IMC No. 2025-12,Quezon,Calauag,Marilag,ND,122.28825°,13.919492°,"https://www.google.com/maps/search/?api=1&query=13.919492,122.28825",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"Whilst no ongoing operation was observed within the supposed private properties of Mr. Amador Abogado, he admitted that he conducted illegal quarrying activity within his parcel of land, wherein the extracted materials were used to backfill and level his other private property, situated across the nearby road. However, no pertinent authority or permit was issued for the said activities, i.e., Quarry Permit from the Provincial Government of Quezon and Levelling Permit from the Municipal Government of Calauag, respectively.",1/23/2025,Theft of Minerals (Section 103 of RA 7942),1,3/3/2025,Cease and Desist Order dated 3/3/2025 to Mr. Amador Abogado;  Letter dated 3/3/2025 to the Municipal Mayor of Calauag
"Alleged illegal quarrying operations in Brgy. Sambungan, Calatagan, Batangas",MMD-IMC No. 2025-13,Batangas,Calatagan,Sambungan,ND,120.628079°,13.927116°,"https://www.google.com/maps/search/?api=1&query=13.927116,120.628079",Not Illegal Mining,Not Applicable,Conducted Investigation,"Ms. Corazon Garcia is conducting levelling/development operations within the said barangay, without a valid and existing Levelling/Development Permit from the Municipal Government of Calatagan. ",1/12/2024,Not Applicable,0,NA,"Letter dated 3/7/2025 to the Municipal Government of Calatagan, Batangas; Letter dated 3/7/2025 to the Department of Agriculture"
"Alleged clearing and ground levelling operations of Tulay ng Kabataan Foundation in Barangay Patabog, Municipality of Mulanay, Province of Quezon",MMD-IMC No. 2025-14,Quezon,Mulanay,Patabog,ND,122.457311°,13.442625°,"https://www.google.com/maps/search/?api=1&query=13.442625,122.457311",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"Whilst the clearing and ground levelling operations of TKF are covered by pertinent permits, e.g., Clearance from the Municipal Government of Mulanay for the conduct of clearing and ground levelling activities for the proposed basketball court, it was found that the incidental materials from the said project were hauled, dumped and utilized for the ongoing campsite project of TKF, located approximately 200 meters from the subject area. Such disposal activity, however, is not covered by any pertinent authority or permit, i.e., Special Permit to Transport and Dispose. ",11/25/2024,Theft of Minerals (Section 103 of RA 7942),1,3/7/2025,"Cease and Desist Order dated 3/7/2025 to Tulay ng Kabataan Foundation; Letter dated 3/7/2025 to the Municipal Government of Mulanay

Monitoring Report dated 3/31/2025 from CENRO Catanauan, wherein it was found that Tulay ng Kabataan Foundation has already secured the pertinent Disposal Permit for the transport and hauling of incidental materials, i.e., Special Permit to Transport Dispose No. SPTD-24-12-0155 issued on 2/10/2025 by the Provincial Government of Quezon"
"Joint inspection/monitoring of the quarrying operations and levelling activities within the Municipality of Nasugbu, Province of Batangas",MMD-IMC No. 2025-15,Batangas,Nasugbu,ND,ND,120.673333°,14.114722°,"https://www.google.com/maps/search/?api=1&query=14.114722,120.673333",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. Six sites within Nasugbu, Batangas were inspected/monitored.

2. All Permit Holders failed to establish visible boundary markers delineating their respective Permit Areas, among others.

3. Total Quality Builders Ent. Inc. failed to install billboard containing the details of its operations.

4. Some of the Permit Holders failed to employ proper benching, construct settling ponds, and implement slope protection/mitigating measures.

5. The operations of Mr. John Andrae V. Umandal under CSAG-03-24 dumped soil materials on the riverbed to serve as an access road for heavy equipment, resulting in water flow obstruction.",12/6/2024,Not Applicable,NA,NA,Letter dated 3/7/2025 to the Provincial Government of Batangas
"Alleged illegal sand extraction along the coastal area in Brgy. Ibabang Tayuman, San Francisco, Quezon",MMD-IMC No. 2025-16,Quezon,San Francisco,Ibabang Tayuman,ND,122.495556°,13.389444°,"https://www.google.com/maps/search/?api=1&query=13.389444,122.495556",Batas Pambansa Blg. 265,Sand,Conducted Investigation,"1. Hon. Lee J. Igot, Barangay Chairman of Barangay Ibabang Tayuman, is allowing the extraction of beach sand along the coastal area of the said barangay. During the interview, he divulged that he had given permission to certain individuals, i.e., Messrs. Ronel Cachuela, Jemar Perilla, Eco Crosado, and two others, to extract beach sand which were used for the construction of the graveyard of their deceased family member

2. Hon. L. J. Igot admitted that he allows his constituents to extract beach sand along the shores who intend to utilize the materials for personal use, e.g., simple repair and construction of houses and graveyards;

3. The Barangay Local Government Unit of Ibabang Tayuman is conducting extraction of beach sand, wherein the extracted materials were utilized for the construction of local public market; and 

4. Mr. and Mrs. Jojo Meneses extracted beach sand in the said barangay, wherein more than 26 sacks of extracted materials were found stockpiled in the facade of their house.",2/4/2025,Batas Pambansa 265,5,3/17/2025,"Cease and Desist Orders dated 3/17/2025 to Barangay Chairman Lee J. Igot, Messrs. Ronel Cachuela, Jemar Perilla, Eco Crosado, and Mr. and Mrs. Jojo Meneses 

Letter dated 3/17/2025 to Complainant

Monitoring Report dated 4/21/2025 from CENRO Catanauan, wherein it was found that no recent or active mining-related activities were undertaken within the vicinity"
"Alleged illegal extraction of beach sand in Barangay Silangan, Quezon, Quezon",MMD-IMC No. 2025-17,Quezon,Quezon,Silangan,ND,122.187683°,14.015436°,"https://www.google.com/maps/search/?api=1&query=14.015436,122.187683",Batas Pambansa Blg. 265,Beach Sand ,Conducted Investigation,"1. Findings from the said investigation disclosed, among others, that although no actual extraction was observed during the said investigation, there has been an extraction of beach sand in the area evident by the presence of stockpiles of beach sand along the upper portion of the shore, and as admitted by Mr. Saturnino Labrada, Perpetrator, during the interview. A video recording capturing the said extraction using a wheel loader was also forwarded to the investigating team, of which the veracity of the video recording was also confirmed by Mr. Labrada. 

2. The said illegal activity aims to level and patch the hollow upper portion of the beach caused by previous illegal extraction of beach sand in the area, however, reports from the personnel of MENRO Quezon, Quezon declared that the stockpiled beach sand in the area were being manually extracted and disposed during nightfall several weeks from the conduct of the said investigation despite the area being cordoned.",1/16/2025,Batas Pambansa 265,0,NA,Letter dated 3/17/2025 to National Bureau of Investigation; Letter dated 3/17/2025 to the Provincial Government of Quezon
"Alleged illegal quarrying activity in Sitio Cacabay, Barangay Sapang II, Municipality of Ternate, Province of Cavite",MMD-IMC No. 2025-18,Cavite,Ternate,Sapang II,Cacabay,120.698056°,14.265833°,"https://www.google.com/maps/search/?api=1&query=14.265833,120.698056",Illegal Quarrying(Non-Metallic)/SAG Extraction,Filling Materials,Conducted Investigation,"1. Although there was no actual operation during the conduct of the investigation, there is a strong indication of ongoing or recent extraction in the first subject area evidenced by the fresh excavation observed on the right portion of the site.

2. The alleged quarry operation in the second subject area was apparently extraction and transport of filling materials used for the repair of the road from Sitio Villacarlos to Sitio Cacabay. However, the said activity was not governed by any permit issued from the government agency(ies) concerned.",3/12/2025,Theft of Minerals (Section 103 of RA 7942),2,4/3/2025,"Cease and Desist Order dated 4/3/2025 to Ms. Mercidita Ditao; Cease and Desist Order dated 4/3/2025 to Barangay Chairman of Sapang II

Letter dated 5/19/2025 from Barangay Chairman Arnold Binauhan and Ms. Mercidita Ditao re request for lifting of CDO

Letters-Reply dated 6/4/205 to Barangay Chairman Arnold Binauhan and Ms. Mercidita Ditao re conditional lifting

Compliance Monitoring Report dated 7/16/2025 from PENRO Cavite showing that Ms. Mercidita Ditao has satisfactorily complied with the Letter re Conditional Lifting

Letter dated 7/18/2025 from Mr. Neil John Abellon re compliance of Ms. Mercidita Ditao with the planting of at least 300 trees

Letter dated 8/4/2025 from this Office lifting the CDO dated 4/3/2025 issued to Ms. Mercidita Ditao"
"Alleged illegal quarrying activity in Barangay Castañas, Municipality of Sariaya, Province of Quezon",MMD-IMC No. 2025-19,Quezon,Sariaya,Castañas,ND,121.552764°,13.875106°,"https://www.google.com/maps/search/?api=1&query=13.875106,121.552764",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand,Conducted Investigation,"1. According to Hon. Angelito Aldy, Barangay Official of Barangay Castañas, there is indeed ongoing sand extraction activity in the site, which he emphasized that it is being conducted during the night and early morning hours. 

2. The PMRB already conducted a seizure activity near the site.

3. Although there are no actual operation during the onsite inspection, the investigating team observed fresh stockpiles of sand in the area. In addition, trail marks left by trucks on the path were also observed.",3/6/2025,Theft of Minerals (Section 103 of RA 7942),10,3/24/2025,"Cease and Desist Orders dated 03/24/2025 issued to Messrs. Jeffrey Panganiban, Mark Javier Caguimbal, Gerry Dailo, Donato Caguimba, John Michael Orenola, Melecio Caguimbal, Gregorio Daelo, Edgardo Valdoria, Reagan Magsumbol, and Boyet Cedenio; Letter dated 03/24/2025 to National Bureau of Investigation

Memoranda dated 06/24/2025 and 06/26/2025 from CENRO Tayabas informing this Office of the compliance of Mr. Melecio Caguimbal, along with five other individuals, with the issued CDO dated 03/24/2025

Letter dated 07/16/2025 to Mr. Melecio Caguimbal re submitted compliance with the CDO; Memorandum dated 07/16/2025 to CENRO Tayabas re submitted compliance with the CDO

Memorandum dated 7/28/2025 from DENR 4A endorsing the Memoranda dated 06/24/2025 and 06/26/2025 from CENRO Tayabas re: compliance of Mr. Melecio Caguimbal, along with five other individuals, with the issued CDO dated 03/24/2025"
"Joint investigation, monitoring and apprehension of individuals or groups engaged in illegal quarrying activities in Brgy. Castañas, Municipality of Sariaya, Province of Quezon",MMD-IMC No. 2025-20B,Quezon,Sariaya,Castañas,ND,121.546230°,13.884202°,"https://www.google.com/maps/search/?api=1&query=13.884202,121.54623",,,Conducted Enforcement Activity based on MGB MC 2018-01,"1. Upon arriving at the quarry site, the Investigating Team discovered an ongoing sand extraction along the Lagnas River in which the involved individuals, except one, fled the area upon the approached of the enforcement authorities. 

2. The Investigating Team seized a red ISUZU Elf Truck loaded with less than 2 cubic meters of sand, along with three screeners, and four shovels. Based on the interview, the truck was reportedly owned by Donata Caguimbal, son of Mr. Melecio Caguimbal. However, Mr. Caguimbal claimed that the truck belong to Fr. John Eamone Panganiban though no proof of ownership was presented to support the claim.

3. Further investigation confirmed that the sand extraction operation was owned by Mr. Melecio Caguimbal in which the latter failed to present pertinent Authority or Permit from government agencies concerned. Instead, Mr. Melecio presented a Letter from the Parokya ni Niña Maria of Castañas, Sariaya, Quezon. The Letter stated that the Parish Council of Economic Affairs, Parish Pastoral Council, and Kura Paroko granted the permission for the extraction and transport of sand, gravel and cement materials intended for the construction of the church and road. Additionally, the Letter was signed by Bro. Philip Buhat, the Chairman Construction Committee; Hon. Cenon Albina, Barangay Chairman of Castañas; and Rev. Fr. John Eamone F. Panganiban.",5/20/2025,Theft of Minerals (Section 103 of RA 7942),0,0,"Show Cause Orders dated 6/10/2025 to Mr. Melecio Caguimbal, Barangay Chairman Cenon Albina, Bro. Philip Buhat, and Rev. Fr. John Eamone F. Panganiban."
"Alleged illegal quarrying in Brgy. Bubuyan, Calamba, Laguna",MMD-IMC No. 2025-20,Laguna,Calamba,Bubuyan,ND,121.110842°,14.168999°,"https://www.google.com/maps/search/?api=1&query=14.168999,121.110842",Not Illegal Mining,Not Applicable,Conducted Investigation,"1. In an interview with Ms. Celedonia P. Manguiat, Barangay Secretary of Bubuyan, she mentioned that the same complaint was also lodged with their Office. She added that the reported earth-movement activity was already given a verbal order to halt by the Barangay Local Government Unit of Bubuyan.

2. Hon. Madell Donna C. Manaig, Barangay Chairperson of Bubuyan, through a phone call, confirmed the stoppage of the subject activity. In addition, she uttered that the said activity was a levelling operation that was without a valid permit.

3. At the site, no earth-moving operation and no heavy equipment or machinery were observed. Further, there were no indications of recent excavations and vegetation has started to grow, which suggest that no earth-moving activities have recently occurred.",1/27/2025,Not Applicable,NA,NA,Letters dated 3/25/2025 to Complainant and City Government of Calamba
"Investigation report on 8888 Citizen Hotline and the circulating post in Facebook Page: :Sto. Tomas City - Balitaan Tayo"" confirmation of legal quarrying in the Barangays adjacent to Mount Makiling and Mount Malipunyo ",MMD-IMC No. 2025-21,Batangas,Sto. Tomas,"San Antonio 
San Miguel
San Vicente
Santa Elena
Santa Clara",ND,121.162996°,14.125154°,"https://www.google.com/maps/search/?api=1&query=14.125154,121.162996",Illegal Quarrying(Non-Metallic)/SAG Extraction,Sand and Gravel,Conducted Investigation,"1. Based on the findings, the Provincial Government Environment and Natural Resources Office confirmed that a Quarry Permit was issued to Makiling Construction Ventures Corporation in Barangay Santa Clara. Special Permits to Transport and Dispose were also issued to Osmundo Maligaya in Barangay San Antonio and Alberto Carpio in Barangay San Vicente. However, ongoing excavation activities in Barangay San Miguel and certain portions of Barangay San Vicente were found to be operating without valid permits.

2. During the field inspection, it was observed that there were excavation activities taking place in Barangay San Miguel, with an estimated depth of 10 meters. The absence of proper benching presented high risk of slope failure, while the use of ash as fill materials raised environmental concerns. In Barangay San Vicente, unauthorized quarrying activities were identified, with heavy equipment present on-site despite the lack of legal permits. Meanwhile, Makiling Construction Ventures Corporation in Barangay Santa Clara was found to be compliant with its issued permits.           ",2/28/2025,Theft of Minerals (Section 103 of RA 7942),0,NA,"Letter-Order dated 4/2/2025 to Mr. Osmundo Maligaya, Letters dated 4/2/2025 to the Provincial Government of Batangas and Complainant"
